title,description,content,url,publishedAt
"Yup, another Knicks choke in the Garden. Pacers finish off miracle comeback with Game 1 OT win - IndyStar",Tyrese Haliburton scored 31 points and made a game-tying jumper to force overtime and the Pacers rallied for a 138-135 Game 1 win over the Knicks.,"NEW YORK Tyrese Haliburton scored 31 points, posted 11 assists and made a game-tying step-back jumper to force overtime, and Aaron Nesmith scored 30 points with eight 3-pointers to key the Pacers' 13… [+3306 chars]",https://www.indystar.com/story/sports/nba/pacers/2025/05/21/pacers-vs-knicks-score-tyrese-haliburton-aaron-nesmith-stun-new-york-in-game-1-ot/83695642007/,2025-05-22T03:28:18Z
All the Celebrities at Knicks vs. Pacers Game 1 of the NBA Eastern Conference Finals - Page Six,See all the stars attending Game 1 of the NBA Eastern Conference Finals to watch the Knicks vs. the Pacers.,,https://pagesix.com/2025/05/21/celebrity-news/all-the-celebrities-at-knicks-vs-pacers-game-1-of-the-nba-eastern-conference-finals/,2025-05-22T01:13:00Z
Paige Bueckers returns to Minnesota: Dapper Dan dresses Wings star for homecoming game vs. Lynx - CBS Sports,Bueckers is inspiring others to be confident in their style regardless of gender stereotypes,"A week into her WNBA career, Dallas Wings rookie Paige Bueckers is playing her first game in her home state of Minnesota on Wednesday night. In celebration, she got a one-of-a-kind outfit from fashio… [+2596 chars]",https://www.cbssports.com/wnba/news/paige-bueckers-returns-to-minnesota-dapper-dan-dresses-wings-star-for-homecoming-game-vs-lynx/,2025-05-22T01:00:33Z
Caitlin Clark-Angel Reese rivalry is being hijacked and it’s just small part of WNBA’s hate-speech problem - New York Post,"This is about the nasty tone the Clark-versus-Reese commentary has taken, especially through online discourse, where race plays a major factor.","Angel Reese and Caitlin Clark are back in the spotlight for reasons neither wants.
Clark committed a flagrant foul on Reese in the Fevers blowout win against the Sky on Saturday.
It was a hard foul… [+378 chars]",https://nypost.com/2025/05/21/sports/caitlin-clark-angel-reese-rivalry-being-hijacked-is-small-part-of-wnbas-hate-speech-problem/,2025-05-22T00:50:00Z
Enhanced Games to Debut in 2026 Allowing PED Use in Olympic-Style Event - Bleacher Report,"Using performance-enhancing drugs may soon become a feature, and not an outlawed act, in a new league coming in May 2026 to Las Vegas.","Using performance-enhancing drugs may soon become a feature, and not an outlawed act, in a new league coming in May 2026 to Las Vegas.
According to ESPN's 
Dan Murphy, the Enhanced Leaguewhich will… [+1932 chars]",https://bleacherreport.com/articles/25198378-enhanced-games-debut-2026-allowing-ped-use-olympic-style-event,2025-05-21T23:43:14Z
Oklahoma City's Shai Gilgeous-Alexander named 2024-25 Kia NBA MVP - NBA,"The Thunder guard wins MVP honors for the 1st time in his career, edging out Nikola Jokić and Giannis Antetokounmpo.","Shai Gilgeous-Alexander claims the 2024-25 Kia NBA MVP after averaging 32.7 points, 6.4 assists and 1.7 steals per game.
Download the NBA App2024-25 NBA Awards: Complete coverageKia Most Valuable Pl… [+3467 chars]",https://www.nba.com/news/kia-nba-most-valuable-player-award-2024-25-shai-gilgeous-alexander,2025-05-21T23:19:04Z
"Ange: Tottenham’s Europa League win will ""change the club"" - Cartilage Free Captain",This means EVERYTHING to Tottenham Hotspur.,"Its hard to know where to begin. Over 90+ minutes in Bilbao, Spain, Tottenham Hotspur exorcised the demons of this long and hard season the 17th place Premier League finish, the injuries, the poor fo… [+3872 chars]",https://cartilagefreecaptain.sbnation.com/2025/5/21/24434832/tottenham-hotspur-news-europa-league-title-ange-postecoglou-change-the-club,2025-05-21T22:37:44Z
Roger Penske addresses Indy 500 qualifying violations that led to dismissal of 3 employees - FOX Sports,"In an exclusive interview with FOX Sports' Jamie Little, Roger Penske said he was ""totally disappointed"" by the violations surrounding Josef Newgarden and Will Power's cars during qualifying for the Indy 500.","Roger Penske, the owner of Team Penske, Indianapolis Motor Speedway and INDYCAR, has taken accountability for the violations Penske drivers Josef Newgarden and Will Power committed in the Fast 12 ses… [+5887 chars]",https://www.foxsports.com/stories/motor/roger-penske-indy-500-qualifying-rules-violations-dismissal-interview,2025-05-21T22:30:38Z
"Brock Purdy calls his contract extension ""a huge blessing"" - NBC Sports","Brock Purdy signed his five-year, $256 million extension on Wednesday.","Brock Purdy signed his five-year, $256 million extension on Wednesday.
It was a relief to the 49ers quarterback to get the deal done in the offseason.
I have so much respect for everybody in this o… [+1482 chars]",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/brock-purdy-calls-his-contract-extension-a-huge-blessing,2025-05-21T22:12:26Z
"'Tush Push' vote led to heated exchange between NFL owners and executives, per report - CBS Sports",The controversial play survived despite some reported pushback,"The Green Bay Packers' failed proposal to ban the ""Tush Push"" included a heated discussion between NFL owners and league executives, according to ESPN. The proposal did not pass despite 22 owners vot… [+2665 chars]",https://www.cbssports.com/nfl/news/tush-push-vote-led-to-heated-exchange-between-nfl-owners-and-executives-per-report/,2025-05-21T21:44:30Z
